Year,State,Ag District,County,Value,Location,ANSI Code,State Initial
2005,Illinois,West Southwest,Christian,181.0,"Christian County, Illinois",17021,IL
2005,Illinois,Southwest,Clinton,135.0,"Clinton County, Illinois",17027,IL
2005,Illinois,Northeast,De Kalb,146.0,"De Kalb County, Illinois",17037,IL
2005,Illinois,East Southeast,Douglas,153.0,"Douglas County, Illinois",17041,IL
2005,Illinois,East Southeast,Effingham,119.0,"Effingham County, Illinois",17049,IL
2005,Illinois,East,Ford,158.0,"Ford County, Illinois",17053,IL
2005,Illinois,Southeast,Franklin,117.0,"Franklin County, Illinois",17055,IL
2005,Illinois,West,Fulton,130.0,"Fulton County, Illinois",17057,IL
2005,Illinois,Southeast,Gallatin,145.0,"Gallatin County, Illinois",17059,IL
2005,Illinois,West Southwest,Greene,136.0,"Greene County, Illinois",17061,IL
2005,Illinois,Northeast,Grundy,122.0,"Grundy County, Illinois",17063,IL
2005,Illinois,West,Henderson,155.0,"Henderson County, Illinois",17071,IL
2005,Illinois,Northwest,Henry,127.0,"Henry County, Illinois",17073,IL
2005,Illinois,East,Iroquois,167.0,"Iroquois County, Illinois",17075,IL
2005,Illinois,East Southeast,Jasper,120.0,"Jasper County, Illinois",17079,IL
2005,Illinois,Northwest,Jo Daviess,165.0,"Jo Daviess County, Illinois",17085,IL
2005,Illinois,Northeast,Kane,121.0,"Kane County, Illinois",17089,IL
2005,Illinois,West,Knox,123.0,"Knox County, Illinois",17095,IL
2005,Illinois,Northeast,La Salle,139.0,"La Salle County, Illinois",17099,IL
2005,Illinois,Northwest,Lee,142.0,"Lee County, Illinois",17103,IL
2005,Illinois,East,Livingston,145.0,"Livingston County, Illinois",17105,IL
2005,Illinois,Central,Logan,144.0,"Logan County, Illinois",17107,IL
2005,Illinois,Central,Macon,175.0,"Macon County, Illinois",17115,IL
2005,Illinois,West Southwest,Macoupin,153.0,"Macoupin County, Illinois",17117,IL
2005,Illinois,West Southwest,Madison,136.0,"Madison County, Illinois",17119,IL
2005,Illinois,East Southeast,Marion,129.0,"Marion County, Illinois",17121,IL
2005,Illinois,Central,Marshall,142.0,"Marshall County, Illinois",17123,IL
2005,Illinois,West,Mcdonough,160.0,"Mcdonough County, Illinois",17109,IL
2005,Illinois,Central,Mclean,161.0,"Mclean County, Illinois",17113,IL
2005,Illinois,Northwest,Mercer,155.0,"Mercer County, Illinois",17131,IL
2005,Illinois,Southwest,Monroe,130.0,"Monroe County, Illinois",17133,IL
2005,Illinois,West Southwest,Montgomery,159.0,"Montgomery County, Illinois",17135,IL
2005,Illinois,West Southwest,Morgan,146.0,"Morgan County, Illinois",17137,IL
2005,Illinois,East Southeast,Moultrie,172.0,"Moultrie County, Illinois",17139,IL
2005,Illinois,Northwest,Ogle,139.0,"Ogle County, Illinois",17141,IL
2005,Illinois,Central,Peoria,119.0,"Peoria County, Illinois",17143,IL
2005,Illinois,East,Piatt,171.0,"Piatt County, Illinois",17147,IL
2005,Illinois,West Southwest,Sangamon,169.0,"Sangamon County, Illinois",17167,IL
2005,Illinois,West,Schuyler,135.0,"Schuyler County, Illinois",17169,IL
2005,Illinois,East Southeast,Shelby,149.0,"Shelby County, Illinois",17173,IL
2005,Illinois,Southwest,St Clair,147.0,"St Clair County, Illinois",17163,IL
2005,Illinois,Central,Stark,123.0,"Stark County, Illinois",17175,IL
2005,Illinois,Northwest,Stephenson,146.0,"Stephenson County, Illinois",17177,IL
2005,Illinois,Central,Tazewell,142.0,"Tazewell County, Illinois",17179,IL
2005,Illinois,West,Warren,158.0,"Warren County, Illinois",17187,IL
2005,Illinois,Southwest,Washington,128.0,"Washington County, Illinois",17189,IL
2005,Illinois,Southeast,White,130.0,"White County, Illinois",17193,IL
2005,Illinois,Northwest,Whiteside,126.0,"Whiteside County, Illinois",17195,IL
2005,Illinois,Southwest,Williamson,139.0,"Williamson County, Illinois",17199,IL
2005,Illinois,Northwest,Winnebago,130.0,"Winnebago County, Illinois",17201,IL
2005,Illinois,Central,Woodford,144.0,"Woodford County, Illinois",17203,IL
2004,Illinois,West,Adams,195.0,"Adams County, Illinois",17001,IL
2004,Illinois,Northwest,Bureau,186.0,"Bureau County, Illinois",17011,IL
2004,Illinois,Northwest,Carroll,189.0,"Carroll County, Illinois",17015,IL
2004,Illinois,West Southwest,Cass,194.0,"Cass County, Illinois",17017,IL
2004,Illinois,East,Champaign,181.0,"Champaign County, Illinois",17019,IL
2004,Illinois,West Southwest,Christian,188.0,"Christian County, Illinois",17021,IL
2004,Illinois,Southwest,Clinton,169.0,"Clinton County, Illinois",17027,IL
2004,Illinois,Northeast,De Kalb,180.0,"De Kalb County, Illinois",17037,IL
2004,Illinois,East Southeast,Douglas,182.0,"Douglas County, Illinois",17041,IL
2004,Illinois,East Southeast,Effingham,171.0,"Effingham County, Illinois",17049,IL
2004,Illinois,East,Ford,178.0,"Ford County, Illinois",17053,IL
2004,Illinois,Southeast,Franklin,138.0,"Franklin County, Illinois",17055,IL
2004,Illinois,West,Fulton,186.0,"Fulton County, Illinois",17057,IL
2004,Illinois,Southeast,Gallatin,164.0,"Gallatin County, Illinois",17059,IL
2004,Illinois,West Southwest,Greene,179.0,"Greene County, Illinois",17061,IL
2004,Illinois,Northeast,Grundy,173.0,"Grundy County, Illinois",17063,IL
2004,Illinois,West,Henderson,185.0,"Henderson County, Illinois",17071,IL
2004,Illinois,Northwest,Henry,186.0,"Henry County, Illinois",17073,IL
2004,Illinois,East,Iroquois,184.0,"Iroquois County, Illinois",17075,IL
2004,Illinois,East Southeast,Jasper,176.0,"Jasper County, Illinois",17079,IL
2004,Illinois,Northwest,Jo Daviess,177.0,"Jo Daviess County, Illinois",17085,IL
2004,Illinois,Northeast,Kane,174.0,"Kane County, Illinois",17089,IL
2004,Illinois,West,Knox,194.0,"Knox County, Illinois",17095,IL
2004,Illinois,Northeast,La Salle,179.0,"La Salle County, Illinois",17099,IL
2004,Illinois,Northwest,Lee,185.0,"Lee County, Illinois",17103,IL
2004,Illinois,East,Livingston,181.0,"Livingston County, Illinois",17105,IL
2004,Illinois,Central,Logan,188.0,"Logan County, Illinois",17107,IL
2004,Illinois,Central,Macon,191.0,"Macon County, Illinois",17115,IL
2004,Illinois,West Southwest,Macoupin,189.0,"Macoupin County, Illinois",17117,IL
2004,Illinois,West Southwest,Madison,163.0,"Madison County, Illinois",17119,IL
2004,Illinois,East Southeast,Marion,158.0,"Marion County, Illinois",17121,IL
2004,Illinois,Central,Marshall,183.0,"Marshall County, Illinois",17123,IL
2004,Illinois,West,Mcdonough,198.0,"Mcdonough County, Illinois",17109,IL
2004,Illinois,Central,Mclean,185.0,"Mclean County, Illinois",17113,IL
2004,Illinois,Northwest,Mercer,183.0,"Mercer County, Illinois",17131,IL
2004,Illinois,Southwest,Monroe,181.0,"Monroe County, Illinois",17133,IL
2004,Illinois,West Southwest,Montgomery,181.0,"Montgomery County, Illinois",17135,IL
2004,Illinois,West Southwest,Morgan,200.0,"Morgan County, Illinois",17137,IL
2004,Illinois,East Southeast,Moultrie,179.0,"Moultrie County, Illinois",17139,IL
2004,Illinois,Northwest,Ogle,184.0,"Ogle County, Illinois",17141,IL
2004,Illinois,Central,Peoria,192.0,"Peoria County, Illinois",17143,IL
2004,Illinois,East,Piatt,191.0,"Piatt County, Illinois",17147,IL
2004,Illinois,West Southwest,Sangamon,192.0,"Sangamon County, Illinois",17167,IL
2004,Illinois,West,Schuyler,191.0,"Schuyler County, Illinois",17169,IL
2004,Illinois,East Southeast,Shelby,175.0,"Shelby County, Illinois",17173,IL
2004,Illinois,Southwest,St Clair,167.0,"St Clair County, Illinois",17163,IL
2004,Illinois,Central,Stark,189.0,"Stark County, Illinois",17175,IL
2004,Illinois,Northwest,Stephenson,184.0,"Stephenson County, Illinois",17177,IL
2004,Illinois,Central,Tazewell,187.0,"Tazewell County, Illinois",17179,IL
2004,Illinois,West,Warren,193.0,"Warren County, Illinois",17187,IL
2004,Illinois,Southwest,Washington,155.0,"Washington County, Illinois",17189,IL
2004,Illinois,Southeast,White,161.0,"White County, Illinois",17193,IL
2004,Illinois,Northwest,Whiteside,183.0,"Whiteside County, Illinois",17195,IL
2004,Illinois,Southwest,Williamson,132.0,"Williamson County, Illinois",17199,IL
2004,Illinois,Northwest,Winnebago,172.0,"Winnebago County, Illinois",17201,IL
2004,Illinois,Central,Woodford,182.0,"Woodford County, Illinois",17203,IL
2003,Illinois,West,Adams,171.0,"Adams County, Illinois",17001,IL
2003,Illinois,Northwest,Bureau,175.0,"Bureau County, Illinois",17011,IL
2003,Illinois,Northwest,Carroll,173.0,"Carroll County, Illinois",17015,IL
2003,Illinois,West Southwest,Cass,183.0,"Cass County, Illinois",17017,IL
2003,Illinois,East,Champaign,185.0,"Champaign County, Illinois",17019,IL
2003,Illinois,West Southwest,Christian,192.0,"Christian County, Illinois",17021,IL
2003,Illinois,Southwest,Clinton,127.0,"Clinton County, Illinois",17027,IL
2003,Illinois,Northeast,De Kalb,170.0,"De Kalb County, Illinois",17037,IL
2003,Illinois,East Southeast,Douglas,177.0,"Douglas County, Illinois",17041,IL
2003,Illinois,East Southeast,Effingham,151.0,"Effingham County, Illinois",17049,IL
2003,Illinois,East,Ford,170.0,"Ford County, Illinois",17053,IL
2003,Illinois,Southeast,Franklin,76.0,"Franklin County, Illinois",17055,IL
2003,Illinois,West,Fulton,166.0,"Fulton County, Illinois",17057,IL
2003,Illinois,Southeast,Gallatin,133.0,"Gallatin County, Illinois",17059,IL
2003,Illinois,West Southwest,Greene,164.0,"Greene County, Illinois",17061,IL
2003,Illinois,Northeast,Grundy,174.0,"Grundy County, Illinois",17063,IL
2003,Illinois,West,Henderson,168.0,"Henderson County, Illinois",17071,IL
2003,Illinois,Northwest,Henry,170.0,"Henry County, Illinois",17073,IL
2003,Illinois,East,Iroquois,158.0,"Iroquois County, Illinois",17075,IL
2003,Illinois,East Southeast,Jasper,147.0,"Jasper County, Illinois",17079,IL
2003,Illinois,Northwest,Jo Daviess,155.0,"Jo Daviess County, Illinois",17085,IL
2003,Illinois,Northeast,Kane,167.0,"Kane County, Illinois",17089,IL
2003,Illinois,West,Knox,181.0,"Knox County, Illinois",17095,IL
2003,Illinois,Northeast,La Salle,162.0,"La Salle County, Illinois",17099,IL
2003,Illinois,Northwest,Lee,152.0,"Lee County, Illinois",17103,IL
2003,Illinois,East,Livingston,168.0,"Livingston County, Illinois",17105,IL
2003,Illinois,Central,Logan,189.0,"Logan County, Illinois",17107,IL
2003,Illinois,Central,Macon,188.0,"Macon County, Illinois",17115,IL
2003,Illinois,West Southwest,Macoupin,169.0,"Macoupin County, Illinois",17117,IL
2003,Illinois,West Southwest,Madison,148.0,"Madison County, Illinois",17119,IL
2003,Illinois,East Southeast,Marion,98.0,"Marion County, Illinois",17121,IL
2003,Illinois,Central,Marshall,173.0,"Marshall County, Illinois",17123,IL
2003,Illinois,West,Mcdonough,179.0,"Mcdonough County, Illinois",17109,IL
2003,Illinois,Central,Mclean,182.0,"Mclean County, Illinois",17113,IL
2003,Illinois,Northwest,Mercer,176.0,"Mercer County, Illinois",17131,IL
2003,Illinois,Southwest,Monroe,131.0,"Monroe County, Illinois",17133,IL
2003,Illinois,West Southwest,Montgomery,169.0,"Montgomery County, Illinois",17135,IL
2003,Illinois,West Southwest,Morgan,191.0,"Morgan County, Illinois",17137,IL
2003,Illinois,East Southeast,Moultrie,169.0,"Moultrie County, Illinois",17139,IL
2003,Illinois,Northwest,Ogle,158.0,"Ogle County, Illinois",17141,IL
2003,Illinois,Central,Peoria,177.0,"Peoria County, Illinois",17143,IL
2003,Illinois,East,Piatt,185.0,"Piatt County, Illinois",17147,IL
2003,Illinois,West Southwest,Sangamon,194.0,"Sangamon County, Illinois",17167,IL
2003,Illinois,West,Schuyler,171.0,"Schuyler County, Illinois",17169,IL
2003,Illinois,East Southeast,Shelby,160.0,"Shelby County, Illinois",17173,IL
2003,Illinois,Southwest,St Clair,133.0,"St Clair County, Illinois",17163,IL
2003,Illinois,Central,Stark,175.0,"Stark County, Illinois",17175,IL
2003,Illinois,Northwest,Stephenson,159.0,"Stephenson County, Illinois",17177,IL
2003,Illinois,Central,Tazewell,188.0,"Tazewell County, Illinois",17179,IL
2003,Illinois,West,Warren,183.0,"Warren County, Illinois",17187,IL
2003,Illinois,Southwest,Washington,116.0,"Washington County, Illinois",17189,IL
2003,Illinois,Southeast,White,120.0,"White County, Illinois",17193,IL
2003,Illinois,Northwest,Whiteside,176.0,"Whiteside County, Illinois",17195,IL
2003,Illinois,Southwest,Williamson,92.0,"Williamson County, Illinois",17199,IL
2003,Illinois,Northwest,Winnebago,144.0,"Winnebago County, Illinois",17201,IL
2003,Illinois,Central,Woodford,187.0,"Woodford County, Illinois",17203,IL
2002,Illinois,West,Adams,146.0,"Adams County, Illinois",17001,IL
2002,Illinois,Northwest,Bureau,163.0,"Bureau County, Illinois",17011,IL
2002,Illinois,Northwest,Carroll,178.0,"Carroll County, Illinois",17015,IL
2002,Illinois,West Southwest,Cass,150.0,"Cass County, Illinois",17017,IL
2002,Illinois,East,Champaign,142.0,"Champaign County, Illinois",17019,IL
2002,Illinois,West Southwest,Christian,139.0,"Christian County, Illinois",17021,IL
2002,Illinois,Southwest,Clinton,105.0,"Clinton County, Illinois",17027,IL
2002,Illinois,Northeast,De Kalb,143.0,"De Kalb County, Illinois",17037,IL
2002,Illinois,East Southeast,Douglas,134.0,"Douglas County, Illinois",17041,IL
2002,Illinois,East Southeast,Effingham,100.0,"Effingham County, Illinois",17049,IL
2002,Illinois,East,Ford,149.0,"Ford County, Illinois",17053,IL
2002,Illinois,Southeast,Franklin,49.0,"Franklin County, Illinois",17055,IL
2002,Illinois,West,Fulton,156.0,"Fulton County, Illinois",17057,IL
2002,Illinois,Southeast,Gallatin,88.0,"Gallatin County, Illinois",17059,IL
2002,Illinois,West Southwest,Greene,123.0,"Greene County, Illinois",17061,IL
2002,Illinois,Northeast,Grundy,130.0,"Grundy County, Illinois",17063,IL
2002,Illinois,West,Henderson,166.0,"Henderson County, Illinois",17071,IL
2002,Illinois,Northwest,Henry,168.0,"Henry County, Illinois",17073,IL
2002,Illinois,East,Iroquois,157.0,"Iroquois County, Illinois",17075,IL
2002,Illinois,East Southeast,Jasper,100.0,"Jasper County, Illinois",17079,IL
2002,Illinois,Northwest,Jo Daviess,156.0,"Jo Daviess County, Illinois",17085,IL
2002,Illinois,Northeast,Kane,127.0,"Kane County, Illinois",17089,IL
2002,Illinois,West,Knox,169.0,"Knox County, Illinois",17095,IL
2002,Illinois,Northeast,La Salle,136.0,"La Salle County, Illinois",17099,IL
2002,Illinois,Northwest,Lee,165.0,"Lee County, Illinois",17103,IL
2002,Illinois,East,Livingston,137.0,"Livingston County, Illinois",17105,IL
2002,Illinois,Central,Logan,153.0,"Logan County, Illinois",17107,IL
2002,Illinois,Central,Macon,133.0,"Macon County, Illinois",17115,IL
2002,Illinois,West Southwest,Macoupin,143.0,"Macoupin County, Illinois",17117,IL
2002,Illinois,West Southwest,Madison,128.0,"Madison County, Illinois",17119,IL
2002,Illinois,East Southeast,Marion,88.0,"Marion County, Illinois",17121,IL
2002,Illinois,Central,Marshall,146.0,"Marshall County, Illinois",17123,IL
2002,Illinois,West,Mcdonough,165.0,"Mcdonough County, Illinois",17109,IL
2002,Illinois,Central,Mclean,144.0,"Mclean County, Illinois",17113,IL
2002,Illinois,Northwest,Mercer,174.0,"Mercer County, Illinois",17131,IL
2002,Illinois,Southwest,Monroe,75.0,"Monroe County, Illinois",17133,IL
2002,Illinois,West Southwest,Montgomery,126.0,"Montgomery County, Illinois",17135,IL
2002,Illinois,West Southwest,Morgan,160.0,"Morgan County, Illinois",17137,IL
2002,Illinois,East Southeast,Moultrie,132.0,"Moultrie County, Illinois",17139,IL
2002,Illinois,Northwest,Ogle,151.0,"Ogle County, Illinois",17141,IL
2002,Illinois,Central,Peoria,161.0,"Peoria County, Illinois",17143,IL
2002,Illinois,East,Piatt,128.0,"Piatt County, Illinois",17147,IL
2002,Illinois,West Southwest,Sangamon,152.0,"Sangamon County, Illinois",17167,IL
2002,Illinois,West,Schuyler,142.0,"Schuyler County, Illinois",17169,IL
2002,Illinois,East Southeast,Shelby,113.0,"Shelby County, Illinois",17173,IL
2002,Illinois,Southwest,St Clair,97.0,"St Clair County, Illinois",17163,IL
2002,Illinois,Central,Stark,167.0,"Stark County, Illinois",17175,IL
2002,Illinois,Northwest,Stephenson,145.0,"Stephenson County, Illinois",17177,IL
2002,Illinois,Central,Tazewell,150.0,"Tazewell County, Illinois",17179,IL
2002,Illinois,West,Warren,174.0,"Warren County, Illinois",17187,IL
2002,Illinois,Southwest,Washington,71.0,"Washington County, Illinois",17189,IL
2002,Illinois,Southeast,White,77.0,"White County, Illinois",17193,IL
2002,Illinois,Northwest,Whiteside,154.0,"Whiteside County, Illinois",17195,IL
2002,Illinois,Southwest,Williamson,46.0,"Williamson County, Illinois",17199,IL
2002,Illinois,Northwest,Winnebago,123.0,"Winnebago County, Illinois",17201,IL
2002,Illinois,Central,Woodford,158.0,"Woodford County, Illinois",17203,IL
2001,Illinois,West,Adams,152.0,"Adams County, Illinois",17001,IL
2001,Illinois,Northwest,Bureau,169.0,"Bureau County, Illinois",17011,IL
2001,Illinois,Northwest,Carroll,165.0,"Carroll County, Illinois",17015,IL
2001,Illinois,West Southwest,Cass,161.0,"Cass County, Illinois",17017,IL
2001,Illinois,East,Champaign,153.0,"Champaign County, Illinois",17019,IL
2001,Illinois,West Southwest,Christian,166.0,"Christian County, Illinois",17021,IL
2001,Illinois,Southwest,Clinton,137.0,"Clinton County, Illinois",17027,IL
2001,Illinois,Northeast,De Kalb,144.0,"De Kalb County, Illinois",17037,IL
2001,Illinois,East Southeast,Douglas,170.0,"Douglas County, Illinois",17041,IL
2001,Illinois,East Southeast,Effingham,141.0,"Effingham County, Illinois",17049,IL
2001,Illinois,East,Ford,146.0,"Ford County, Illinois",17053,IL
2001,Illinois,Southeast,Franklin,134.0,"Franklin County, Illinois",17055,IL
2001,Illinois,West,Fulton,154.0,"Fulton County, Illinois",17057,IL
2001,Illinois,Southeast,Gallatin,153.0,"Gallatin County, Illinois",17059,IL
2001,Illinois,West Southwest,Greene,151.0,"Greene County, Illinois",17061,IL
2001,Illinois,Northeast,Grundy,144.0,"Grundy County, Illinois",17063,IL
2001,Illinois,West,Henderson,162.0,"Henderson County, Illinois",17071,IL
2001,Illinois,Northwest,Henry,157.0,"Henry County, Illinois",17073,IL
2001,Illinois,East,Iroquois,158.0,"Iroquois County, Illinois",17075,IL
2001,Illinois,East Southeast,Jasper,147.0,"Jasper County, Illinois",17079,IL
2001,Illinois,Northwest,Jo Daviess,148.0,"Jo Daviess County, Illinois",17085,IL
2001,Illinois,Northeast,Kane,133.0,"Kane County, Illinois",17089,IL
2001,Illinois,West,Knox,166.0,"Knox County, Illinois",17095,IL
2001,Illinois,Northeast,La Salle,159.0,"La Salle County, Illinois",17099,IL
2001,Illinois,Northwest,Lee,160.0,"Lee County, Illinois",17103,IL
2001,Illinois,East,Livingston,145.0,"Livingston County, Illinois",17105,IL
2001,Illinois,Central,Logan,151.0,"Logan County, Illinois",17107,IL
2001,Illinois,Central,Macon,169.0,"Macon County, Illinois",17115,IL
2001,Illinois,West Southwest,Macoupin,146.0,"Macoupin County, Illinois",17117,IL
2001,Illinois,West Southwest,Madison,145.0,"Madison County, Illinois",17119,IL
2001,Illinois,East Southeast,Marion,143.0,"Marion County, Illinois",17121,IL
2001,Illinois,Central,Marshall,158.0,"Marshall County, Illinois",17123,IL
2001,Illinois,West,Mcdonough,169.0,"Mcdonough County, Illinois",17109,IL
2001,Illinois,Central,Mclean,158.0,"Mclean County, Illinois",17113,IL
2001,Illinois,Northwest,Mercer,158.0,"Mercer County, Illinois",17131,IL
2001,Illinois,Southwest,Monroe,148.0,"Monroe County, Illinois",17133,IL
2001,Illinois,West Southwest,Montgomery,152.0,"Montgomery County, Illinois",17135,IL
2001,Illinois,West Southwest,Morgan,160.0,"Morgan County, Illinois",17137,IL
2001,Illinois,East Southeast,Moultrie,175.0,"Moultrie County, Illinois",17139,IL
2001,Illinois,Northwest,Ogle,150.0,"Ogle County, Illinois",17141,IL
2001,Illinois,Central,Peoria,162.0,"Peoria County, Illinois",17143,IL
2001,Illinois,East,Piatt,170.0,"Piatt County, Illinois",17147,IL
2001,Illinois,West Southwest,Sangamon,161.0,"Sangamon County, Illinois",17167,IL
2001,Illinois,West,Schuyler,155.0,"Schuyler County, Illinois",17169,IL
2001,Illinois,East Southeast,Shelby,144.0,"Shelby County, Illinois",17173,IL
2001,Illinois,Southwest,St Clair,146.0,"St Clair County, Illinois",17163,IL
2001,Illinois,Central,Stark,164.0,"Stark County, Illinois",17175,IL
2001,Illinois,Northwest,Stephenson,141.0,"Stephenson County, Illinois",17177,IL
2001,Illinois,Central,Tazewell,154.0,"Tazewell County, Illinois",17179,IL
2001,Illinois,West,Warren,169.0,"Warren County, Illinois",17187,IL
2001,Illinois,Southwest,Washington,137.0,"Washington County, Illinois",17189,IL
2001,Illinois,Southeast,White,152.0,"White County, Illinois",17193,IL
2001,Illinois,Northwest,Whiteside,145.0,"Whiteside County, Illinois",17195,IL
2001,Illinois,Southwest,Williamson,124.0,"Williamson County, Illinois",17199,IL
2001,Illinois,Northwest,Winnebago,119.0,"Winnebago County, Illinois",17201,IL
2001,Illinois,Central,Woodford,168.0,"Woodford County, Illinois",17203,IL
2000,Illinois,West,Adams,172.0,"Adams County, Illinois",17001,IL
2000,Illinois,Northwest,Bureau,151.0,"Bureau County, Illinois",17011,IL
2000,Illinois,Northwest,Carroll,150.0,"Carroll County, Illinois",17015,IL
2000,Illinois,West Southwest,Cass,164.0,"Cass County, Illinois",17017,IL
2000,Illinois,East,Champaign,145.0,"Champaign County, Illinois",17019,IL
2000,Illinois,West Southwest,Christian,177.0,"Christian County, Illinois",17021,IL
2000,Illinois,Southwest,Clinton,141.0,"Clinton County, Illinois",17027,IL
2000,Illinois,Northeast,De Kalb,157.0,"De Kalb County, Illinois",17037,IL
2000,Illinois,East Southeast,Douglas,144.0,"Douglas County, Illinois",17041,IL
2000,Illinois,East Southeast,Effingham,136.0,"Effingham County, Illinois",17049,IL
2000,Illinois,East,Ford,136.0,"Ford County, Illinois",17053,IL
2000,Illinois,Southeast,Franklin,123.0,"Franklin County, Illinois",17055,IL
2000,Illinois,West,Fulton,149.0,"Fulton County, Illinois",17057,IL
2000,Illinois,Southeast,Gallatin,155.0,"Gallatin County, Illinois",17059,IL
2000,Illinois,West Southwest,Greene,164.0,"Greene County, Illinois",17061,IL
2000,Illinois,Northeast,Grundy,151.0,"Grundy County, Illinois",17063,IL
2000,Illinois,West,Henderson,146.0,"Henderson County, Illinois",17071,IL
2000,Illinois,Northwest,Henry,147.0,"Henry County, Illinois",17073,IL
2000,Illinois,East,Iroquois,145.0,"Iroquois County, Illinois",17075,IL
2000,Illinois,East Southeast,Jasper,138.0,"Jasper County, Illinois",17079,IL
2000,Illinois,Northwest,Jo Daviess,137.0,"Jo Daviess County, Illinois",17085,IL
2000,Illinois,Northeast,Kane,150.0,"Kane County, Illinois",17089,IL
2000,Illinois,West,Knox,152.0,"Knox County, Illinois",17095,IL
2000,Illinois,Northeast,La Salle,152.0,"La Salle County, Illinois",17099,IL
2000,Illinois,Northwest,Lee,152.0,"Lee County, Illinois",17103,IL
2000,Illinois,East,Livingston,147.0,"Livingston County, Illinois",17105,IL
2000,Illinois,Central,Logan,163.0,"Logan County, Illinois",17107,IL
2000,Illinois,Central,Macon,172.0,"Macon County, Illinois",17115,IL
2000,Illinois,West Southwest,Macoupin,170.0,"Macoupin County, Illinois",17117,IL
2000,Illinois,West Southwest,Madison,155.0,"Madison County, Illinois",17119,IL
2000,Illinois,East Southeast,Marion,131.0,"Marion County, Illinois",17121,IL
2000,Illinois,Central,Marshall,155.0,"Marshall County, Illinois",17123,IL
2000,Illinois,West,Mcdonough,160.0,"Mcdonough County, Illinois",17109,IL
2000,Illinois,Central,Mclean,155.0,"Mclean County, Illinois",17113,IL
2000,Illinois,Northwest,Mercer,148.0,"Mercer County, Illinois",17131,IL
2000,Illinois,Southwest,Monroe,158.0,"Monroe County, Illinois",17133,IL
2000,Illinois,West Southwest,Montgomery,173.0,"Montgomery County, Illinois",17135,IL
2000,Illinois,West Southwest,Morgan,168.0,"Morgan County, Illinois",17137,IL
2000,Illinois,East Southeast,Moultrie,173.0,"Moultrie County, Illinois",17139,IL
2000,Illinois,Northwest,Ogle,154.0,"Ogle County, Illinois",17141,IL
2000,Illinois,Central,Peoria,151.0,"Peoria County, Illinois",17143,IL
2000,Illinois,East,Piatt,166.0,"Piatt County, Illinois",17147,IL
2000,Illinois,West Southwest,Sangamon,174.0,"Sangamon County, Illinois",17167,IL
2000,Illinois,West,Schuyler,159.0,"Schuyler County, Illinois",17169,IL
2000,Illinois,East Southeast,Shelby,163.0,"Shelby County, Illinois",17173,IL
2000,Illinois,Southwest,St Clair,144.0,"St Clair County, Illinois",17163,IL
2000,Illinois,Central,Stark,154.0,"Stark County, Illinois",17175,IL
2000,Illinois,Northwest,Stephenson,145.0,"Stephenson County, Illinois",17177,IL
2000,Illinois,Central,Tazewell,165.0,"Tazewell County, Illinois",17179,IL
2000,Illinois,West,Warren,152.0,"Warren County, Illinois",17187,IL
2000,Illinois,Southwest,Washington,134.0,"Washington County, Illinois",17189,IL
2000,Illinois,Southeast,White,141.0,"White County, Illinois",17193,IL
2000,Illinois,Northwest,Whiteside,139.0,"Whiteside County, Illinois",17195,IL
2000,Illinois,Southwest,Williamson,114.0,"Williamson County, Illinois",17199,IL
2000,Illinois,Northwest,Winnebago,130.0,"Winnebago County, Illinois",17201,IL
2000,Illinois,Central,Woodford,158.0,"Woodford County, Illinois",17203,IL
1999,Illinois,West,Adams,122.0,"Adams County, Illinois",17001,IL
1999,Illinois,Northwest,Bureau,139.0,"Bureau County, Illinois",17011,IL
1999,Illinois,Northwest,Carroll,162.0,"Carroll County, Illinois",17015,IL
1999,Illinois,West Southwest,Cass,152.0,"Cass County, Illinois",17017,IL
1999,Illinois,East,Champaign,166.0,"Champaign County, Illinois",17019,IL
1999,Illinois,West Southwest,Christian,148.0,"Christian County, Illinois",17021,IL
1999,Illinois,Southwest,Clinton,115.0,"Clinton County, Illinois",17027,IL
1999,Illinois,Northeast,De Kalb,155.0,"De Kalb County, Illinois",17037,IL
1999,Illinois,East Southeast,Douglas,138.0,"Douglas County, Illinois",17041,IL
1999,Illinois,East Southeast,Effingham,94.0,"Effingham County, Illinois",17049,IL
1999,Illinois,East,Ford,152.0,"Ford County, Illinois",17053,IL
1999,Illinois,Southeast,Franklin,86.0,"Franklin County, Illinois",17055,IL
1999,Illinois,West,Fulton,154.0,"Fulton County, Illinois",17057,IL
1999,Illinois,Southeast,Gallatin,118.0,"Gallatin County, Illinois",17059,IL
1999,Illinois,West Southwest,Greene,125.0,"Greene County, Illinois",17061,IL
1999,Illinois,Northeast,Grundy,134.0,"Grundy County, Illinois",17063,IL
1999,Illinois,West,Henderson,150.0,"Henderson County, Illinois",17071,IL
1999,Illinois,Northwest,Henry,142.0,"Henry County, Illinois",17073,IL
1999,Illinois,East,Iroquois,159.0,"Iroquois County, Illinois",17075,IL
1999,Illinois,East Southeast,Jasper,98.0,"Jasper County, Illinois",17079,IL
1999,Illinois,Northwest,Jo Daviess,143.0,"Jo Daviess County, Illinois",17085,IL
1999,Illinois,Northeast,Kane,152.0,"Kane County, Illinois",17089,IL
1999,Illinois,West,Knox,154.0,"Knox County, Illinois",17095,IL
1999,Illinois,Northeast,La Salle,142.0,"La Salle County, Illinois",17099,IL
